DATE,B30YR,B20YR,B10YR,B7YR,B5YR,B1YR,TBILL90
1/31/1990,-0.042903,-0.0396,-0.024409,-0.015757,-0.010543,0.004723,0.007025
2/28/1990,-0.005948,-0.00269,-0.002074,-0.001334,0.001235,0.006603,0.00597
3/31/1990,-0.002646,-0.002265,-0.001702,0.000472,0.000027,0.00495,0.006457
4/30/1990,-0.030332,-0.027292,-0.017396,-0.011241,-0.006062,0.005484,0.007226
5/31/1990,0.048937,0.048854,0.032827,0.029453,0.02409,0.012023,0.007192
6/30/1990,0.025699,0.023028,0.017846,0.015507,0.01551,0.009427,0.0065
7/31/1990,0.005766,0.010401,0.011922,0.01666,0.016341,0.01001,0.007401
8/31/1990,-0.051388,-0.045907,-0.025843,-0.015253,-0.007523,0.005492,0.006726
9/30/1990,0.010307,0.012724,0.009186,0.008775,0.009406,0.007546,0.006269
10/31/1990,0.025931,0.023221,0.018981,0.018759,0.016654,0.009687,0.006638
11/30/1990,0.04766,0.045085,0.030133,0.022799,0.018591,0.007964,0.0065
12/31/1990,0.022503,0.019346,0.019396,0.015587,0.016087,0.009662,0.007378
1/31/1991,0.011376,0.011511,0.010098,0.013238,0.009233,0.009246,0.006225
2/28/1991,0.004963,0.004061,0.006436,0.005337,0.004807,0.007135,0.00515
3/31/1991,0.001127,0.00236,0.004182,0.001573,0.002571,0.006796,0.005189
4/30/1991,0.011921,0.014065,0.0095,0.010433,0.011056,0.008219,0.006082
5/31/1991,-0.00332,-0.000512,0.004376,0.005256,0.005521,0.005667,0.004892
6/30/1991,-0.011133,-0.00971,-0.006102,-0.003866,-0.002266,0.004065,0.004511
7/31/1991,0.014487,0.017111,0.013229,0.013467,0.012943,0.008151,0.005221
8/31/1991,0.0363,0.035041,0.025923,0.024982,0.02443,0.009562,0.005137
9/30/1991,0.034585,0.032634,0.031095,0.026395,0.02209,0.008127,0.004981
10/31/1991,-0.003614,0.00373,0.006005,0.012008,0.01322,0.008269,0.005029
11/30/1991,-0.002552,0.003498,0.008336,0.012854,0.013768,0.007926,0.004846
12/31/1991,0.070085,0.059951,0.054398,0.039717,0.028783,0.010221,0.004796
1/31/1992,-0.033888,-0.031174,-0.024549,-0.02331,-0.013203,0.002622,0.003505
2/29/1992,0.001704,0.006302,0.008862,0.002664,-0.001139,0.003748,0.002851
3/31/1992,-0.010904,-0.011507,-0.007535,-0.005871,-0.005707,0.002839,0.003454
4/30/1992,-0.003595,-0.001232,0.003928,0.00694,0.009261,0.007264,0.00411
5/31/1992,0.030102,0.026314,0.021337,0.02176,0.01799,0.005982,0.003122
6/30/1992,0.012313,0.013678,0.019971,0.019053,0.018828,0.006367,0.003652
7/31/1992,0.045186,0.043088,0.035683,0.030483,0.023916,0.007907,0.003894
8/31/1992,0.00421,0.00501,0.009816,0.012098,0.014411,0.005392,0.002884
9/30/1992,0.010784,0.01751,0.019812,0.019788,0.018478,0.007106,0.003376
10/31/1992,-0.023622,-0.020311,-0.017524,-0.01828,-0.017625,-0.001585,0.002093
11/30/1992,0.007264,0.006713,-0.00345,-0.007173,-0.008006,0.001173,0.002163
12/31/1992,0.029439,0.0247,0.022404,0.018633,0.01461,0.006298,0.003378
1/31/1993,0.02789,0.026045,0.027836,0.028823,0.025583,0.005234,0.002874
2/28/1993,0.036317,0.034419,0.026678,0.023338,0.01961,0.004892,0.002229
3/31/1993,0.002359,0.001221,0.005287,0.003596,0.005423,0.003634,0.00289
4/30/1993,0.003597,0.008767,0.007802,0.008909,0.00857,0.003972,0.00247
5/31/1993,0.000794,0.004538,-0.000582,-0.000818,-0.001782,-0.000416,0.002168
6/30/1993,0.044191,0.041944,0.032076,0.02633,0.017846,0.005124,0.003041
7/31/1993,0.019287,0.01664,0.004442,0.001839,0.000982,0.002522,0.002675
8/31/1993,0.049781,0.037985,0.025066,0.02383,0.019676,0.004829,0.002867
