DATE,AA,AAPL,ABT,AIG,AIT,AJRD,AMGN,APC,ARW,ASH,ASNA,ATO,AVT,AXE,B,BA,BAC,BCR,BDX,BF.B,BHI,BIO,BKH,BLL,BMS,BMY,BRC,CASY,CAT,CBM,CBSH,CCC,CCE,CDNS,CL,CLC,CLX,CMC,COP,CPB,CR,CRS,CSC,CTAS,CUB,CVS,CVX,CY,CYN,DBD,DCI,DD,DOV,DOW,ED,EIX,EMC,EMR,ES,EV,EXC,FAST,FDX,FITB,FLS,GE,GPS,HAL,HD,HON,HP,HPQ,IBM,IDCC,IFF,INTC,ITW,JBHT,JNJ,JPM,KLAC,KO,LG,LH,LLY,LMT,LNCE,LNN,LOW,LRCX,LZB,MENT,MMM,MO,MRK,MTB,MTRN,NBL,NEM,NFG,NKE,NSC,NWL,OGE,OKE,OMC,ORCL,OXY,PAYX,PBY,PCH,PEP,PFE,PG,PNW,POM,RHI,RJF,RPM,SCG,SHW,SNA,SNV,SO,STR,SUP,T,TDS,TDW,TFX,TKR,TTC,TXN,UNP,UTX,VAR,VVC,VZ,WDFC,WFC,WMB,WMT,WTR,XEL,XOM,B30Y,B20Y,B10Y,B7Y,B5Y,B2Y,B1Y,TB90D,TB30D,CPI,MKT,SP500
1/31/1990,-0.157667,-0.035461,-0.038971,-0.101449,-0.179372,-0.104167,-0.045918,-0.118243,0.052190595,-0.075,-0.133333,-0.013986,-0.108871,-0.159091,-0.081897,-0.002105,-0.091892,-0.153672,-0.074747,-0.150142,-0.06902,-0.046875,-0.061135,-0.074349,-0.163636,-0.073661,0.01129,-0.157303,-0.038013,-0.235294,-0.075117,-0.159091,-0.101563,-0.1,-0.136614,-0.142093,-0.07,-0.08,-0.00495,-0.183369,-0.032258,-0.026247,-0.17316,-0.061453,-0.060606,0.021961,-0.012915,-0.088608,-0.105263,0.12013,-0.033708,-0.07622,-0.010417,-0.105079,-0.064378,-0.04127,0.307692,-0.019231,-0.033333,-0.00055,-0.07027,-0.033333,-0.016393,-0.135135,-0.036496,-0.034884,-0.090024,-0.017544,-0.040956,-0.02509,-0.04,-0.055556,0.047809,-0.297872,-0.112546,0.144928,-0.069081,-0.164557,-0.117895,-0.138075,-0.157143,-0.108414,-0.047794,-0.02,-0.078467,0.00641,-0.054583,0.044944,-0.071864,0.13658524,-0.042254,-0.067164,-0.018838,-0.09009,-0.067742,-0.022814,-0.041916,-0.067164,0.089474,-0.045249,-0.051643,-0.08679,0.050847,-0.048205,-0.074353,-0.082524,-0.080214,-0.101266,-0.049231,-0.113474,-0.05102,-0.101563,-0.014388,-0.082562,-0.022472,-0.073298,-0.021739,-0.012358,0.022105,-0.062937,-0.054545,0.003846,-0.053435,-0.054592,-0.039088,-0.116883,-0.162035,-0.180593,-0.086957,-0.095618,-0.013514,0.014851,-0.069686,-0.029364,-0.080645,-0.037457,-0.081871,-0.111461,0.005496,-0.068667,-0.132686,-0.050139,0.009009,-0.062893,-0.06,-0.042903,-0.0396,-0.024409,-0.015757,-0.010543,-0.000534,0.004723,0.007025,0.005852,0.010309,-0.070115,-0.068817
2/28/1990,0.046843,0.003235,-0.013462,0.041667,0.028852,0.095349,0.229947,-0.024521,0.258065,-0.010135,0.076923,0.009362,0.117647,0.040541,0.02723,0.083122,0.067857,-0.134228,0.039301,0.006667,0.084656,0.131148,0.03386,-0.019116,0.028,0.00241,0.084,0.04,0.094808,0.338462,-0.029036,0.155405,-0.017391,0.196078,0.043678,0.136986,-0.009677,-0.054626112,0.025126,-0.005249,-0.033333,0.026415,-0.065445,0.047619,0.177419,-0.127732407,0.014206,0.263889,0.035294,0.04058,0.045116,0.046865,0.050667,0.009785,-0.015413,0.009934,0.235294,0.021307,-0.02,-0.013825,-0.038372,0.189655,0.111111,-0.023438,0.121212,-0.000482,0.208556,0.071429,0.132527,0.046324,0.094242,-0.033613,0.065501,0.181818,-0.054054,0.018987,0.153153,0.261212,0.029403,-0.004854,-0.016949,0.023593,-0.027027,-0.081633,-0.037069,-0.064968,-0.038889,0.182796,-0.293773377,0.209302,0.022941,0.0672,0.034944,-0.023102,-0.053633,-0.011673,0.025,0.04256,0.007729,-0.047393,0.123762,0.027304,-0.016129,-0.013699,0.017167,-0.021164,0.040698,0.061033,-0.054054,-0.047619,0.116129,0.017391,-0.129927,-0.001953,0.114943,0.005876,0.02963,0.14876,0.032468,-0.014925,0.002,0.015939,-0.015299444,-0.032407,-0.000542,0.066176,0.035461,-0.032895,0.066667,0.048282,0.026667,-0.072474976,0.05618,0.021849,0.034085,0.120482,-0.015541,-0.080563,-0.023077,-0.060241,-0.064179,0.032258,0.035714,-0.020134,0.012766,-0.005948,-0.00269,-0.002074,-0.001334,0.001235,0.004174,0.006603,0.00597,0.005818,0.00471,0.014901,0.008539
3/31/1990,0.007782,0.183824,0.025341,-0.038761,0.048128,0.086022,0.073913,0.015748,0.025641,0.017182,0.119048,0.028571,-0.003239,0.032468,0.143519,0.123288,-0.129213,-0.023256,0.021345,-0.120596,0.078049,0.144928,0.041096,0.033058,0.042553,0.024038,-0.01845,-0.064103,0.008247,-0.25,0.015789,0.065731,0.09823,0.060109,0.048458,0.057002386,0.035831,0.031056,0.019608,0.084433,0.100575,0.074468,0.019608,-0.011818,-0.021096,0.046961,0.005587,0.043956,0.064091,0.025281,0.072626,-0.022293,0.030201,0.029457,-0.014218,-0.006164,0.119048,0.029032,-0.005988,-0.018692,-0.10559,0.173913,0.115,0.09568,0.081633,0.040486,0.175929,0.013966,0.150943,0.053381,-0.072917,0.063304,0.021661,0.538462,0.086418,0.037267,0.052083,0.072289,0.04662,-0.061268,0.189655,0.065957,0.082222,0.133333,0.070393,-0.006897,-0.00578,0.181818,0.258373,0.134615,0.152174,0.12782,0.015601,0.080236,0.023035,0.03622,0.099756,-0.023077,-0.086538,0.008358,0.197357,0.053156,0.082418,0.020541061,-0.012658,0.026811,-0.156425,-0.00885,-0.057143,0.1375,0.064725,0.074786,0.027542,0.060665,0.164948,-0.022857,-0.079137,0.075396,-0.012579,-0.015,0.092664,0.011407,0.223226,0.004785,-0.006873,0.172414,0.031963,-0.032109,0.008929,-0.038573708,0.089686,0.165659,0.033475,-0.038421,0.119804,0.075269,0.039474,0.05007,-0.007874,0.012821,0.040323,0.075455,-0.008772,-0.003425,-0.018617,-0.002646,-0.002265,-0.001702,0.000472,2.70E-05,0.002374,0.00495,0.006457,0.00638,0.005469,0.02414,0.024255
4/30/1990,-0.036293,-0.021739,0.021597,-0.044355,-0.030612,-0.077228,0.036437,-0.061054255,0.124426151,-0.081081,-0.021277,-0.0625,-0.081633,0.012579,-0.046559,-0.027875,-0.019355,0.053968,-0.020661,-0.072106,-0.06371,-0.037975,-0.026316,0.02,0.02449,0.063944,0.003008,-0.080844842,0.008998,-0.025641,-0.031088,0.032967,-0.056452,-0.056701,-0.044958,0.05759,-0.031824,-0.020843,-0.033654,-0.007299,-0.015789,-0.007921,-0.021978,-0.023121,0.021277,-0.010976,-0.024074,0.094737,-0.080645,-0.109589,-0.026042,-0.029316,-0.019544,-0.060837,-0.086538,-0.036913,-0.085106,-0.034483,-0.042169,-0.157714,-0.152778,0.074074,-0.017937,-0.073529,-0.119497,-0.003891,-0.033962,-0.057851,0.021858,-0.050676,-0.071161,-0.046448,0.027091,-0.2,-0.038776,-0.053892,0.002475,-0.092809,0.008909,-0.069604106,0.072464,0.020067,-0.041045,-0.127451,0.023211,-0.083333,0.102791,-0.046154,-0.084135311,-0.118644,-0.031447,0.08,-0.024578,0.059937,0.053957,-0.009542,-0.005587,-0.07874,-0.115789,-0.135,0.01476,-0.041388,0.055838,-0.055694,-0.115214,-0.015957,-0.15894,-0.018265,-0.012727,0.123297,-0.079027,0.057884,-0.063918,0.049077,-0.141593,-0.052632,0.019531,-0.013423,0.027771,-0.019608,-0.010601,-0.015038,-0.211921,-0.071429,-0.058824,0.026824,-0.020973,-0.035211,-0.017699,0.07173,0.012346,-0.109244,-0.062069,-0.062069,-0.039301,-0.0374,-0.012658,0.003232,-0.000635,-0.078228,-0.069767,0.050265,-0.070796,-0.06378,-0.01897,-0.030332,-0.027292,-0.017396,-0.011241,-0.006062,0.002517,0.005484,0.007226,0.006829,0.001554,-0.028286,-0.026887
5/31/1990,0.064516,0.050413,0.121723,0.142053,0.006737,0.076087,0.095703,0.044961,-0.072693028,0.136029,-0.065217,0.032,0.048889,-0.006211,0.00552,0.189964,0.028947,0.022727,0.135021,0.233129,0.135922,0.059211,0.01027,-0.02651,0.177052,0.091314,0.06015,-0.09589,0.09165,-0.073684,0.058824,-0.005319,0.094017,0.213115,0.146341,0.195402,0.114754,-0.009288,0.080402,0.061576,0.125668,0.04798,0.103933,0.088757,0.201389,0.067204,0.073245,0.125,0.040936,0.089231,0.325561,0.081208,0.081196,0.008097,0.003368,0.062718,0.139535,0.089351,0.00327,-0.034091,0.101639,0.057471,-0.155251,0.016754115,0.093525,0.083516,0.044922,0.160819,0.296791,0.051957,0.100323,0.094556,0.112018,-0.1875,0.142251,0.221519,0.086914,0.10559,0.13404,0.171123,0.283784,0.183607,-0.023346,0.168539,0.189565,0.085606,0.053191,0.137097,0.369565,0.288462,0.104675,0.187654,0.050142,0.002976,0.135836,0.016185,0.078652,0.156581,0.092857,0.098266,0.141818,0.096346,0.129808,0.026217,0.04902,0.075676,0.244094,0.023256,-0.030769,0.088235,0.130033,0.115094,0.171366,0.169912,0.319588,0.068148,-0.103448,0.118912,0.10625,0.076,0.084,0.122748,0.05042,0.04759,0.050882,0.091954,0.06865,0.120438,0.279279,0.09874,0.174797,0.051887,0.235294,0.045956,0.074091,0.140625,0.054872,0.114973,-0.00813,0.243056,0.078333,0.13602,0.085714,0.070896,0.074033,0.048937,0.048854,0.032827,0.029453,0.02409,0.014494,0.012023,0.007192,0.006404,0.002327,0.088936,0.091989
6/30/1990,-0.034091,0.084848,0.095159,-0.04931,-0.057895,-0.085200865,0.108734,0.003717,0.175,-0.087948,-0.174700008,-0.029197,-0.020339,-0.0375,0.008547,0.062027,-0.032258,-0.103704,0.046766,0.020997878,-0.068376,0.124224,0.022624,0.012195,-0.030612,0.043347,-0.006075104,0.127616089,-0.214552,-0.071429,-0.02303,-0.003636,0.000781,-0.018018,0.058027,0.00937852,-0.008824,0.016505939,-0.04186,0.080056833,-0.009569,0.050602,-0.033079,0.019814217,-0.011561,0.055416,0.005357,-0.008547,-0.138876,0.005698,0.076131437,-0.034483,-0.037037,-0.06988,0.005348,0.000918,-0.081633,-0.015015,-0.00641,-0.045073977,0.007576,-0.045043392,-0.129479596,0.015556,-0.092105,0.005445,-0.01940779,-0.025316,-0.014119269,0.006849,-0.095588,-0.026739162,-0.020833,0.205128,0.03777,-0.025907,-0.018223,-0.05618,0.060665,-0.043653,0.010526,-0.012188,-0.021036,0.057692,0.0623,-0.053004,0.070707,0.150082521,-0.106821928,-0.268657,0.056077689,-0.09375,0.048411,0.112018,0.048338,-0.049524,0.043958,-0.059259,-0.046448,0.004421,-0.123463937,0.039394,0.094017,0.029197,-0.08334934,0.066332,0.291047759,-0.040909,0.112564271,-0.111997332,-0.044118,0.054822,-0.026565,0.054463,0.023438,-0.023529,0.068376,-0.036585,-0.067831008,-0.007286,0.056291,-0.030822,0.15008,0.01,-0.021277,0.149558,-0.077088,-0.047036,-0.147887,-0.003597,-0.125436,-0.049771677,-0.052262,-0.005905,-0.023454,0.027397,-0.037037,-0.047962,0.027574371,-0.027933,-0.0625,0.018043095,-0.026786,0.006969,-0.002604,0.025699,0.023028,0.017846,0.015507,0.01551,0.010964,0.009427,0.0065,0.005898,0.005418,-0.004196,-0.008886
7/31/1990,0.097255,-0.061453,0.066098,-0.020752,0.179027027,0.024444,0.109325,0.007407,0.161464244,-0.042857,-0.093023,0.037594,-0.1,-0.077922,-0.059322,-0.012821,-0.043333,-0.042314,0.012478,-0.024221,0.160183,-0.129834,0.039823,0.084337,-0.035088,0.025641,-0.141935,-0.057576,-0.065558,-0.138462,-0.067708,-0.05914,0.007813,0.013761,0.030347,-0.022653,0.050089,-0.049441,0.131068,-0.063319,0.014493,-0.029817,-0.076316,-0.071429,-0.140351,0.013938,0.138899,-0.12931,-0.072368,0.031161,-0.092251,0.077922,-0.048077,-0.098253,0.06383,0.01,-0.01130819,-0.009146,0.019355,-0.000686,-0.007519,-0.043478,-0.08011,-0.007874,0.072464,0.034296,-0.015086,0.14026,-0.10961,-0.081633,0.044715,-0.087302,-0.051064,0.06383,0.054152,-0.053191,-0.037123,-0.056667,0.042435,-0.098039,-0.0625,0.022535,-0.012448,0.074182,0.001504,-0.179104,-0.086415,-0.073079279,-0.382931,-0.204082,0.020408,-0.296092,0.04329,0.02957,0.027378,-0.066132,-0.170854,0.073386,0.13467,-0.042553,0.120521,0.026822,-0.066406,0.021135,0.081143,-0.004762,-0.27027,0.004854,-0.075625,0.044407,0.018462,-0.008052,0.181287,0.000861,0.10687,0.006024,-0.056,0.072082357,-0.031685,0.019084,-0.031348,-0.007067,-0.062937,0.03604,-0.028986,-0.035354,0.022088,-0.133562,0.165289,-0.028881,-0.035857,-0.025126,-0.192429,0.067736,0.034934,0.184533,0.00641,0.006851,-0.089524,-0.086207,-0.041667,0.006012,-0.045872,0.005675,0.083551,0.005766,0.010401,0.011922,0.01666,0.016341,0.011825,0.01001,0.007401,0.006704,0.003849,-0.009405,-0.005223
8/31/1990,-0.073741,-0.116429,-0.08046,-0.104503,-0.18838,-0.175824,0.049275,0.031618,-0.255319,-0.007463,-0.282051,0.06029,-0.062802,-0.112676,-0.090991,-0.160173,-0.080836,-0.043478,-0.070141,-0.070638,-0.031746,-0.244444,-0.037106,-0.106222,-0.103855,-0.063462,-0.141509,-0.112903,-0.120205,-0.242857,-0.01676,-0.137143,-0.100775,-0.217195,-0.064286,-0.084211,-0.145299,0.048359339,-0.017316,-0.053864,-0.183333,-0.170686,-0.108262,-0.098901,0.006259,-0.206161,-0.044094,-0.188119,-0.156028,-0.197802,-0.134634,-0.122892,-0.122559,-0.186441,-0.1118,-0.066007,-0.111111,-0.149169,-0.047342,-0.206897,-0.065152,-0.068182,-0.057057,-0.111111,-0.22449,-0.13438,-0.059081,-0.029613,-0.010073,-0.068148,0.007315,-0.191304,-0.075471,-0.08,-0.097603,-0.25,-0.090506,-0.164557,-0.065982,-0.059783,-0.322222,-0.068871,0.02521,0.018868,-0.092673,-0.051818,-0.0625,-0.271739,-0.322764365,0.025641,-0.225867,-0.081967,-0.120553,-0.057441,-0.077868,-0.067811,-0.090909,-0.007353,-0.110606,-0.05532652,-0.238372,-0.08596,-0.125523,-0.045936,-0.071429,-0.08134,-0.311111,-0.062802,-0.144068,-0.02439,-0.167976,-0.024351,-0.054785,-0.112392,-0.110345,-0.065629,-0.211864,-0.101266,-0.128655,-0.059925,-0.140712,-0.120427,-0.089552,-0.082927,0.037015,-0.225131,-0.098851,-0.162055,0.028369,-0.122379,-0.11157,-0.185567,-0.132813,-0.037329,-0.167511,-0.06391,0.087389,-0.134177,-0.061947,-0.096604,-0.10087,-0.090518,-0.076923,-0.164336,-0.024578,-0.051388,-0.045907,-0.025843,-0.015253,-0.007523,0.003418,0.005492,0.006726,0.006154,0.009202,-0.091896,-0.094314
9/30/1990,-0.027184,-0.216216,-0.021875,-0.07037,-0.027778,-0.32,-0.01105,0.071429,-0.142857,-0.068182,-0.178571,-0.0625,-0.086598,-0.230159,-0.015075,-0.137306,-0.344828,0.114349048,0.043973215,-0.1,-0.04918,-0.151261,-0.06278,-0.096234,-0.069388,-0.051335,-0.054945,-0.018182,-0.017442,-0.047619,-0.082727,-0.123709,-0.102586,-0.190751,-0.091603,-0.034483,-0.096667,-0.026316,-0.092511,-0.096535,-0.023529,0.00578,-0.022364,-0.02439,-0.061644,-0.086567,-0.024712,-0.134146,-0.073277,0.00346,0.061321,-0.059028,-0.042471,-0.055952,-0.034483,0.017668,0.25,-0.058394,-0.019136329,-0.014493,-0.033058,-0.006098,-0.076433,-0.088571,0.061404,-0.113387,-0.11215,-0.03066,-0.103321,-0.100806,-0.069767,-0.036416,0.044172,-0.282609,-0.012676,-0.003745,-0.047872,-0.045455,-0.03619,-0.251792,0.452797315,-0.060355,0.002951,-0.064815,-0.048253,0.019512,-0.055556,-0.19403,-0.181347,-0.275,-0.078261,-0.169643,-0.020635,0.012299,-0.067381,-0.078704,-0.2304,0.074074,-0.059829,0.076889,-0.042748,-0.081505,-0.288462,0.018519,0.201923,-0.0875,-0.44086,-0.159794,0.158416,-0.241667,-0.142857,-0.077537,-0.005282,-0.053571,-0.395349,-0.03268,-0.107527,-0.116338,-0.14094,0.004143,0.015152,-0.089796,-0.133115,0.010638,0.036496,-0.135135,0.068878,-0.162453,0.041379,-0.038298,0.00939,-0.23443,0.02,-0.06993,-0.12532,-0.048193,0.048580344,0.105263,-0.056604,-0.161972,0.019608,-0.04386,-0.074468,0.027782,-0.02,0.010307,0.012724,0.009186,0.008775,0.009406,0.008175,0.007546,0.006269,0.005984,0.008359,-0.053843,-0.051184
10/31/1990,-0.145309,0.060345,0.053291,0.001992,-0.171429,0.023529,0.055866,-0.063333,-0.047581918,-0.097561,0.16697258,-0.022222,0.034091,-0.340206,0.0010631,0.075075,-0.192982,0.026182,0.022814,0.09188,-0.082241,0.148515,-0.009569,-0.018519,-0.052632,0.028658,-0.04093,-0.218519,-0.028402,-0.025,-0.0625,-0.037879,0.057692,-0.071429,0.131513,0.045,-0.022583,-0.047027,-0.003689,0.090411,0.006024,-0.126437,0.114379,-0.0125,-0.109489,-0.06915,-0.079392,0.140845,-0.174312,-0.144828,-0.013333,-0.02214,-0.03629,0.073718,0.113095,0.098194,0.08,0.048551,0.07483,-0.035882,0.136752,-0.331288,-0.089655,0.108911,-0.016529,-0.045872,0.031579,-0.128954,-0.032922,-0.098655,-0.145833,-0.223881,-0.009401,0.151515,0.050388,0.007519,-0.067039,-0.015873,0.017787,-0.346774,-0.065574,0.136076,0.05625,0.138614,-0.057692,0.019139,0.068706,0.166667,0.232482405,-0.068966,-0.037736,-0.166882,0.024311,0.041436,0.009852,-0.050251,-0.078947,-0.066759,-0.109091,-0.068063,-0.12,-0.00273,0.114865,0.119855,-0.02784,-0.219653,-0.173077,0.018987,-0.022222,-0.195165,-0.196581,0.043478,0.030088,0.085763,0.153846,0.074324,-0.120482,-0.048,0.1525,0.11336,-0.018657,-0.008969,-0.009524,0.117263,0.045775,0.098125,0.053747,0.045198,-0.112583,-0.070796,-0.213953,-0.15,-0.146667,-0.058271,0.055556,-0.153924,0.035714,0.118307,-0.0028,0.016807,0.081731,-0.018349,0.126437,0.082988,0.022821881,0.025931,0.023221,0.018981,0.018759,0.016654,0.011386,0.009687,0.006638,0.006559,0.006029,-0.012504,-0.006698
